system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSAVI,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,Nom,QA10,QA20,QA60,commune,evi,fid,ndre,ndvi,ndwi,period,savi,type_pasto,.geo
0_0000000000000000000f,1481.5744982025167,21.563503594967056,3624.79667715199,2643.6309716397036,1426.7762033153595,1533.1840173756734,1813.575843818655,2070.469196874376,2539.1984222089077,2810.587523716796,2853.2559167165973,3131.5207297283796,1529.550038695826,0.3561753401713372,,,,C3-SDT,0.0,0.0,0.0,Castril,0.19408133993938748,16,0.15247819130076426,0.21832804784594634,-0.11603018008313722,2017_AJ,0.15572152053357627,SDT,"{""type"":""Polygon"",""coordinates"":[[[-2.723329045880869,37.92652284318435],[-2.7232220505498885,37.92596541485329],[-2.7229009901375485,37.925461570032894],[-2.722397132324615,37.92506020931855],[-2.721763903029162,37.92480164128824],[-2.7210638322675376,37.92471246867435],[-2.7203592951160127,37.9248015989647],[-2.7197216924196943,37.92505574937775],[-2.7192177928586947,37.92545261175109],[-2.7188922831441884,37.92595204110526],[-2.718780821245733,37.926509413223705],[-2.7188878064528983,37.927066842702665],[-2.71920883941444,37.92757068811087],[-2.719712738879303,37.92797204681794],[-2.7203459405020807,37.9282306945759],[-2.721050477453139,37.92831984348742],[-2.7217505480155686,37.92823065365611],[-2.7223881782738406,37.92797650257949],[-2.722892111873254,37.927579640458234],[-2.72321757344561,37.92708021380612],[-2.723329045880869,37.92652284318435]]]}"
0_00000000000000000008,1314.338273369452,22.65684645853911,3157.1346268969446,2258.5458284693755,1219.5531219132574,1269.405070489988,1458.8138263641533,1716.5315122172667,2196.5972642102442,2446.8565643489283,2498.7833468027584,2746.3213068833743,1319.6424241970728,0.4259118913812182,,,,P3-SDT,0.0,0.0,0.0,Pontones,0.23219877302106604,9,0.19177773404179838,0.27291027364321724,-0.10775954213680641,2017_AJ,0.1820535244044089,SDT,"{""type"":""Polygon"",""coordinates"":[[[-2.749499530405241,38.01910715016752],[-2.7493925513942554,38.01854978683237],[-2.7490669844035347,38.01804585523298],[-2.748567629151363,38.01764459163608],[-2.7479299472191654,38.017390366003525],[-2.7472298660818577,38.01729674447769],[-2.746525316039997,38.017385944968154],[-2.7458876617990167,38.01764008392975],[-2.7453837851672147,38.01803694360515],[-2.74505824592625,38.01854086355647],[-2.744942318667048,38.019098253017155],[-2.745053842659054,38.01965559219423],[-2.745374902653354,38.02015502852679],[-2.7458787791899777,38.020556347092715],[-2.7465119539860217,38.02081495342367],[-2.747216503827699,38.02090419175313],[-2.7479209883013533,38.02081499194179],[-2.74855419059308,38.02056079528271],[-2.749062580760994,38.02016391226243],[-2.7493880717958414,38.019664514637626],[-2.749499530405241,38.01910715016752]]]}"
0_00000000000000000009,1298.2749381297622,19.15762144137093,2956.7942007711013,2103.0456082722944,1178.3041386391785,1196.7656270638984,1315.708951931871,1566.2367729779717,2106.313676500274,2360.5675027352504,2375.3188043155874,2650.4092806603476,1234.2683660524915,0.43931910749842945,,,,P2-SDT,0.0,0.0,0.0,Pontones,0.23255346098284793,10,0.20254545763786666,0.2850611878836795,-0.10558735351671344,2017_AJ,0.17833465489652944,SDT,"{""type"":""Polygon"",""coordinates"":[[[-2.737326212807987,38.04717270170944],[-2.7372147071479263,38.046615337352755],[-2.7368937028821794,38.04611147554512],[-2.736389770838072,38.045714631875825],[-2.7357565805611443,38.045455992463694],[-2.7350520506533877,38.04536680672487],[-2.7343475313095316,38.04545147099768],[-2.733709890448711,38.04570569229886],[-2.733205992550175,38.04610702611643],[-2.7328804617460447,38.04660643700151],[-2.73276456452,38.04716383146076],[-2.732875983720866,38.04772119885391],[-2.733197036438188,38.04822505939459],[-2.7337009342406597,38.04862642047549],[-2.734334172716853,38.04888053941394],[-2.7350386918604,38.04896972378941],[-2.7357432215678523,38.048884977535145],[-2.736380890023573,38.04863083630797],[-2.7368847460672425,38.04823402235818],[-2.7372102287096522,38.04773009661849],[-2.737326212807987,38.04717270170944]]]}"
0_00000000000000000010,1255.7981860766429,20.796333532665574,3075.556974136642,2074.8109832062587,1141.2525464693276,1194.5029912293826,1258.1623212239,1644.449354661884,2294.556160611951,2591.0153585488624,2635.8331377385766,2930.2523209747374,1374.4859408481595,0.5042644115813911,,,,P1-SDT,0.0,0.0,0.0,Pontones,0.28687456389633387,17,0.23240568998402994,0.34762299513054357,-0.08318893857954322,2017_AJ,0.2238931096734951,SDT,"{""type"":""Polygon"",""coordinates"":[[[-2.6641924925323384,38.08763017139947],[-2.66408100917647,38.08707272725222],[-2.6637599749752,38.086568873218575],[-2.6632605422995317,38.086172007594506],[-2.6626228829057026,38.08591339430471],[-2.661918315014161,38.08582423940723],[-2.6612138335295445,38.08590891670998],[-2.660576126285225,38.08616309917404],[-2.6600722565686423,38.086559955798236],[-2.6597467788691667,38.08705937602029],[-2.6596308350909306,38.08761679496165],[-2.6597378367897533,38.08817417995798],[-2.6600633902077893,38.088678012528526],[-2.6605627887103003,38.08907931229436],[-2.6612004199898713,38.08933800516203],[-2.6619049770560816,38.089427158716425],[-2.662609468961514,38.089342399529585],[-2.663247128172292,38.089088298868326],[-2.663751032127702,38.088691442652596],[-2.664076537721791,38.088187508385005],[-2.6641924925323384,38.08763017139947]]]}"
0_00000000000000000002,1339.7651946528206,23.019236866083354,3519.3057765517947,2568.54738944294,1264.7000649050772,1353.2530973451328,1658.4706192193923,1881.4122907747421,2243.22651372368,2479.6783441716493,2516.848917208582,2788.8981951396095,1340.2119849719786,0.35688288951308156,,,,S3-SDT,0.0,0.0,0.0,Santiago,0.19093918990507322,3,0.15259008474172978,0.2180919579985345,-0.14418797231732175,2017_AJ,0.15373481667338543,SDT,"{""type"":""Polygon"",""coordinates"":[[[-2.727413642177116,37.97410592079794],[-2.727302160043686,37.973548506690896],[-2.72698107172917,37.97304462936136],[-2.7264771701268233,37.97264333758763],[-2.7258440375715076,37.97238910463044],[-2.725139504560205,37.97229545523547],[-2.724439383456184,37.97238470620206],[-2.723801725335862,37.97263888067273],[-2.7232978578549565,37.97303573828131],[-2.7229723198432545,37.97353960458033],[-2.72285644706779,37.97409249700229],[-2.7229679186455082,37.97464991243092],[-2.723288979515599,37.97515379031836],[-2.723792846901213,37.97555508179706],[-2.724426027681417,37.97581375377593],[-2.725126072700062,37.975902901748],[-2.725830605509812,37.97581370963021],[-2.72646829118623,37.975559534525516],[-2.726972192693291,37.97516267720749],[-2.7272976825503235,37.97466325547487],[-2.727413642177116,37.97410592079794]]]}"
0_00000000000000000003,1422.9393348821309,25.139682488190637,3757.9713206285364,2754.302960016571,1370.4183699696318,1481.1331371134968,1826.8207745152095,2112.393875345921,2501.2114333197756,2746.693693682454,2785.246527058625,3062.0391187824557,1504.6833191512724,0.306487923365254,,,,S2-SDT,0.0,0.0,0.0,Santiago,0.1544946496038926,4,0.12666254470622887,0.18202581699270337,-0.13716549284948482,2017_AJ,0.13159074939703652,SDT,"{""type"":""Polygon"",""coordinates"":[[[-2.7136795792621053,37.97688390314467],[-2.7135681297465197,37.97632649398415],[-2.7132470595113047,37.97582267676586],[-2.7127431536158624,37.97542134038773],[-2.7121099787245577,37.97516268293008],[-2.711405424284026,37.975073478489556],[-2.7107053563373515,37.9751582028576],[-2.7100677331062237,37.9754168978859],[-2.709563861368107,37.97581376510221],[-2.7092383427730207,37.97631313500665],[-2.7091223521906733,37.97687052082832],[-2.709233867002913,37.9774279295593],[-2.709554909766181,37.97793182808346],[-2.710054305559701,37.97833310541364],[-2.71069200447113,37.97858729646296],[-2.711392072218501,37.97868096312632],[-2.712096626458462,37.97859177389346],[-2.7127342772732663,37.97833760075441],[-2.713238107206369,37.97794073557917],[-2.713563653563199,37.97743684430229],[-2.7136795792621053,37.97688390314467]]]}"
0_00000000000000000004,1342.845337710345,21.94177278924791,3223.447497052497,2330.1248245830498,1253.1976484781412,1312.589778582058,1503.5223374635768,1765.1458222724073,2240.7024255521746,2486.907187919848,2510.4478946227073,2782.4695740390384,1294.9700414021393,0.40476699987728976,,,,S1-SDT,0.0,0.0,0.0,Santiago,0.21236479285890864,5,0.1779662620860384,0.2562658493576778,-0.12337522476348471,2017_AJ,0.1670011301891407,SDT,"{""type"":""Polygon"",""coordinates"":[[[-2.705131510267539,38.042789460261396],[-2.7050244805799033,38.04223199757915],[-2.7046989934991412,38.04172818940697],[-2.7041995030384407,38.04133131437957],[-2.7035618924254403,38.04107266100492],[-2.7028617898819904,38.040983494746364],[-2.7021572985502837,38.041068212858605],[-2.701519639869889,38.04132236001071],[-2.7010113091661494,38.04171925158707],[-2.7006857741064185,38.04222313164752],[-2.700574279626814,38.042780519570314],[-2.700681299152809,38.04333346531765],[-2.701002359197184,38.043837294206064],[-2.701506214771467,38.04423866686899],[-2.7021393981763584,38.044497258608246],[-2.7028439650891727,38.04458640166909],[-2.7035485425933348,38.04450168055604],[-2.704186153024742,38.04424753458037],[-2.7046945181623485,38.04384620593592],[-2.7050200052120403,38.04334684670857],[-2.705131510267539,38.042789460261396]]]}"
1_0000000000000000000b,1526.8741368894575,24.44931924730271,3759.1139081245997,2748.65740440255,1498.7348584323977,1640.6582381810651,1936.0342373422948,2219.971361954737,2693.7730974122924,2965.5374726026366,2973.2381061744563,3273.8635498994,1472.648405086549,0.3501251882991783,,,,C1-LDT,0.0,0.0,0.0,Castril,0.19494862323261838,12,0.14702648557021203,0.21448958570641136,-0.11256547305539784,2018_AJ,0.15674766445864816,LDT,"{""type"":""Polygon"",""coordinates"":[[[-2.725830605509812,37.95350041897533],[-2.7257236044776105,37.952942972546],[-2.72540252695744,37.95243909636853],[-2.7248987181814694,37.95203783037809],[-2.7242655310261075,37.951779143858104],[-2.723560945818261,37.95168997410831],[-2.7228564470677905,37.95177917426426],[-2.722223211576138,37.95203330791154],[-2.7217193610384074,37.952430191927206],[-2.721393833973578,37.9529295975329],[-2.721277889214633,37.95348701826969],[-2.7213893570436682,37.954044362647934],[-2.721710407116918,37.954548239396225],[-2.7222098564318653,37.95494960484095],[-2.722847492929398,37.955203743995654],[-2.7235475902933977,37.95529737790222],[-2.7242520994160047,37.95520825743555],[-2.7248897636535427,37.954954021639125],[-2.7253936482200563,37.954557218682034],[-2.725719127134772,37.954053291924424],[-2.725830605509812,37.95350041897533]]]}"
1_0000000000000000000c,1422.6736931428225,24.538987957821174,3824.3980782429635,2874.292149497726,1365.710827977787,1504.6154189804727,1849.1225032757225,2137.0158183066096,2541.6366306857176,2804.513570849192,2819.122286142135,3118.947016908967,1415.5446359268744,0.351954782585386,,,,C3-LDT,0.0,0.0,0.0,Castril,0.18383841347762667,13,0.1425467700687544,0.21429044978255807,-0.14950891169089892,2018_AJ,0.15364008821076708,LDT,"{""type"":""Polygon"",""coordinates"":[[[-2.710183650164876,37.96319892741927],[-2.7100722089559213,37.96264156282385],[-2.709751086789866,37.96214215645134],[-2.7092472184539904,37.96174080023015],[-2.708614014899533,37.96148214848903],[-2.707913988622695,37.96139295760651],[-2.707209421362662,37.96147769558862],[-2.706571769810659,37.961731896499074],[-2.7060679356385813,37.96212874362122],[-2.7057423654581485,37.96263264615655],[-2.70562645937861,37.9631899768165],[-2.7057379658766,37.96374742172327],[-2.7060589847040473,37.96425127296221],[-2.706562894636118,37.964648103931346],[-2.7071960704918148,37.96490675457603],[-2.7078961619088022,37.96499594236626],[-2.708600663628742,37.96491120483918],[-2.7092383427730207,37.96465708408435],[-2.709742211013529,37.964260156502135],[-2.7100677331062237,37.963756337569876],[-2.710183650164876,37.96319892741927]]]}"
1_0000000000000000000a,1560.6609734064987,24.09649720390181,3900.8823318036525,2745.344844623781,1526.0111032921836,1650.7894591714764,1996.7678477405377,2269.665224324183,2693.764148306745,2975.263417153893,3007.302142053267,3336.171672443522,1498.6070103334612,0.3272143051426701,,,,C2-LDT,0.0,0.0,0.0,Castrils,0.1899659041960829,11,0.13525437810967428,0.19637383275747688,-0.11785016658463118,2018_AJ,0.14591661644420625,LDT,"{""type"":""Polygon"",""coordinates"":[[[-2.7279977703843663,37.94338715872161],[-2.7278907644136865,37.94282979366631],[-2.7275696720744693,37.94233037277061],[-2.72706584004513,37.94192905505016],[-2.7264326236640017,37.94167042030371],[-2.725728081820878,37.94158124561645],[-2.725023550549542,37.941665944026845],[-2.7243903617105967,37.94192456593408],[-2.7238864879118685,37.94232143437047],[-2.723560945818261,37.94282083692049],[-2.72344499570637,37.943378260166355],[-2.7235564686816627,37.94393560385644],[-2.723877533577004,37.94443946914525],[-2.724377005949775,37.944840805608706],[-2.7250101946085925,37.94509499560664],[-2.725714725679513,37.94518861262665],[-2.7264192673222256,37.94509946922039],[-2.7270568851038948,37.944845269772145],[-2.7275607929272945,37.944448401601235],[-2.7278862868642006,37.94394455802527],[-2.7279977703843663,37.94338715872161]]]}"
