fid_unique,fid,year,Nom,commune,governance,type_pasto,elevation_mean,aspect_mean,slope_mean,NDVI_mean,SAVI_mean,MSAVI_mean,NDRE_mean,MNDWI_mean,NDVI_stdDev,SAVI_stdDev,MSAVI_stdDev,MNDWI_stdDev,NDRE_stdDev,NDVI_max,NDVI_min,SAVI_max,SAVI_min,MSAVI_max,MSAVI_min,NDRE_max,NDRE_min,MNDWI_max,MNDWI_min,.geo
11,2,2021,S2-LDT,Santiago,intermediate,LDT,1730.657793,177.4517152,8.984090714,0.3349576657,0.22749717,0.2093121328,0.2050246921,-0.4516145124,0.1083895587,0.06708905622,0.06630411726,0.06552245757,0.06437902415,0.7261331081,0.09243422747,0.5383865339,0.08995804097,0.5482088511,0.08872147591,0.4523651004,0.01451350935,-0.183957845,-0.6192520261,"{""type"":""Polygon"",""coordinates"":[[[-2.7426726465354387,38.00785234442491],[-2.742565607139546,38.00729496223526],[-2.7422401633242917,38.00679108323801],[-2.7417407287368176,38.006394242067074],[-2.7411075422782822,38.006135630691944],[-2.7404030080611164,38.00604641084276],[-2.739698408493911,38.00613114267343],[-2.7390607709311983,38.00638528325211],[-2.73855689155717,38.00678661730537],[-2.738231399587912,38.00728608001123],[-2.7381154891627664,38.007843475040396],[-2.738226921052749,38.00840083689903],[-2.7385480103331283,38.008904736255964],[-2.7390518896119462,38.00930155392184],[-2.7396850483800645,38.00956016419609],[-2.7403895718361313,38.009649382688515],[-2.741094105851916,38.009564651300416],[-2.7417273680424867,38.00931053167711],[-2.7422356844071647,38.00891361599031],[-2.742561204105786,38.00840971476696],[-2.7426726465354387,38.00785234442491]]]}"
12,2,2022,S2-LDT,Santiago,intermediate,LDT,1730.657793,177.4517152,8.984090714,0.2599932619,0.1831120168,0.16664623,0.1585176177,-0.4694794398,0.09139154879,0.05898935073,0.05684990727,0.05806514712,0.05533593034,0.6792178154,0.08373013884,0.5048250905,0.07759719405,0.5058268468,0.07428807138,0.404435426,-5.92E-04,-0.1873151213,-0.6351318359,"{""type"":""Polygon"",""coordinates"":[[[-2.7426726465354387,38.00785234442491],[-2.742565607139546,38.00729496223526],[-2.7422401633242917,38.00679108323801],[-2.7417407287368176,38.006394242067074],[-2.7411075422782822,38.006135630691944],[-2.7404030080611164,38.00604641084276],[-2.739698408493911,38.00613114267343],[-2.7390607709311983,38.00638528325211],[-2.73855689155717,38.00678661730537],[-2.738231399587912,38.00728608001123],[-2.7381154891627664,38.007843475040396],[-2.738226921052749,38.00840083689903],[-2.7385480103331283,38.008904736255964],[-2.7390518896119462,38.00930155392184],[-2.7396850483800645,38.00956016419609],[-2.7403895718361313,38.009649382688515],[-2.741094105851916,38.009564651300416],[-2.7417273680424867,38.00931053167711],[-2.7422356844071647,38.00891361599031],[-2.742561204105786,38.00840971476696],[-2.7426726465354387,38.00785234442491]]]}"
13,3,2017,S3-SDT,Santiago,intermediate,SDT,1700.920415,257.0513517,11.40695548,0.3249774129,0.2329483285,0.2129208133,0.1990882114,-0.4900365005,0.06875181134,0.04634630966,0.04386117661,0.04362418375,0.04377251716,0.5537795424,0.1499409676,0.4525766677,0.07578570481,0.4431830352,0.0619380276,0.3390730321,-0.08199811727,-0.3314570785,-0.5968480706,"{""type"":""Polygon"",""coordinates"":[[[-2.727413642177116,37.97410592079794],[-2.727302160043686,37.973548506690896],[-2.72698107172917,37.97304462936136],[-2.7264771701268233,37.97264333758763],[-2.7258440375715076,37.97238910463044],[-2.725139504560205,37.97229545523547],[-2.724439383456184,37.97238470620206],[-2.723801725335862,37.97263888067273],[-2.7232978578549565,37.97303573828131],[-2.7229723198432545,37.97353960458033],[-2.72285644706779,37.97409249700229],[-2.7229679186455082,37.97464991243092],[-2.723288979515599,37.97515379031836],[-2.723792846901213,37.97555508179706],[-2.724426027681417,37.97581375377593],[-2.725126072700062,37.975902901748],[-2.725830605509812,37.97581370963021],[-2.72646829118623,37.975559534525516],[-2.726972192693291,37.97516267720749],[-2.7272976825503235,37.97466325547487],[-2.727413642177116,37.97410592079794]]]}"
14,3,2018,S3-SDT,Santiago,intermediate,SDT,1700.920415,257.0513517,11.40695548,0.2875019735,0.2007742803,0.1830567527,0.1788664926,-0.4862295215,0.05098546835,0.03385354384,0.03198031786,0.03954625964,0.03236077211,0.4700934589,0.1605149955,0.3182472002,0.10777529,0.2995982475,0.09635311867,0.2746494114,0.01714898087,-0.3486472666,-0.5737634301,"{""type"":""Polygon"",""coordinates"":[[[-2.727413642177116,37.97410592079794],[-2.727302160043686,37.973548506690896],[-2.72698107172917,37.97304462936136],[-2.7264771701268233,37.97264333758763],[-2.7258440375715076,37.97238910463044],[-2.725139504560205,37.97229545523547],[-2.724439383456184,37.97238470620206],[-2.723801725335862,37.97263888067273],[-2.7232978578549565,37.97303573828131],[-2.7229723198432545,37.97353960458033],[-2.72285644706779,37.97409249700229],[-2.7229679186455082,37.97464991243092],[-2.723288979515599,37.97515379031836],[-2.723792846901213,37.97555508179706],[-2.724426027681417,37.97581375377593],[-2.725126072700062,37.975902901748],[-2.725830605509812,37.97581370963021],[-2.72646829118623,37.975559534525516],[-2.726972192693291,37.97516267720749],[-2.7272976825503235,37.97466325547487],[-2.727413642177116,37.97410592079794]]]}"
15,3,2019,S3-SDT,Santiago,intermediate,SDT,1700.920415,257.0513517,11.40695548,0.2750044047,0.2006125719,0.1837254578,0.1658658131,-0.4934058089,0.04915337859,0.03355512371,0.03176991395,0.04237961028,0.02986947028,0.4903746843,0.1467607617,0.3458471934,0.09653286818,0.3262650489,0.08065462954,0.297026068,0.02336599492,-0.3371765614,-0.5997040272,"{""type"":""Polygon"",""coordinates"":[[[-2.727413642177116,37.97410592079794],[-2.727302160043686,37.973548506690896],[-2.72698107172917,37.97304462936136],[-2.7264771701268233,37.97264333758763],[-2.7258440375715076,37.97238910463044],[-2.725139504560205,37.97229545523547],[-2.724439383456184,37.97238470620206],[-2.723801725335862,37.97263888067273],[-2.7232978578549565,37.97303573828131],[-2.7229723198432545,37.97353960458033],[-2.72285644706779,37.97409249700229],[-2.7229679186455082,37.97464991243092],[-2.723288979515599,37.97515379031836],[-2.723792846901213,37.97555508179706],[-2.724426027681417,37.97581375377593],[-2.725126072700062,37.975902901748],[-2.725830605509812,37.97581370963021],[-2.72646829118623,37.975559534525516],[-2.726972192693291,37.97516267720749],[-2.7272976825503235,37.97466325547487],[-2.727413642177116,37.97410592079794]]]}"
16,3,2020,S3-SDT,Santiago,intermediate,SDT,1700.920415,257.0513517,11.40695548,0.3667015247,0.2564266478,0.2362119412,0.2178791251,-0.4721738576,0.06001762226,0.04349278553,0.04332347596,0.03837873614,0.03602162389,0.5725407004,0.213683337,0.397214594,0.1517538412,0.3849003552,0.1336934823,0.3596214652,0.07914601266,-0.3380183876,-0.5641297698,"{""type"":""Polygon"",""coordinates"":[[[-2.727413642177116,37.97410592079794],[-2.727302160043686,37.973548506690896],[-2.72698107172917,37.97304462936136],[-2.7264771701268233,37.97264333758763],[-2.7258440375715076,37.97238910463044],[-2.725139504560205,37.97229545523547],[-2.724439383456184,37.97238470620206],[-2.723801725335862,37.97263888067273],[-2.7232978578549565,37.97303573828131],[-2.7229723198432545,37.97353960458033],[-2.72285644706779,37.97409249700229],[-2.7229679186455082,37.97464991243092],[-2.723288979515599,37.97515379031836],[-2.723792846901213,37.97555508179706],[-2.724426027681417,37.97581375377593],[-2.725126072700062,37.975902901748],[-2.725830605509812,37.97581370963021],[-2.72646829118623,37.975559534525516],[-2.726972192693291,37.97516267720749],[-2.7272976825503235,37.97466325547487],[-2.727413642177116,37.97410592079794]]]}"
17,3,2021,S3-SDT,Santiago,intermediate,SDT,1700.920415,257.0513517,11.40695548,0.3563692391,0.2385107494,0.2165293876,0.2129666954,-0.500452196,0.05811547262,0.03896536782,0.03757520093,0.03815964507,0.03497788677,0.5538771152,0.1685393304,0.3808322825,0.1086761379,0.3633489679,0.09363513327,0.3629629612,0.04863097519,-0.3487656713,-0.6081252694,"{""type"":""Polygon"",""coordinates"":[[[-2.727413642177116,37.97410592079794],[-2.727302160043686,37.973548506690896],[-2.72698107172917,37.97304462936136],[-2.7264771701268233,37.97264333758763],[-2.7258440375715076,37.97238910463044],[-2.725139504560205,37.97229545523547],[-2.724439383456184,37.97238470620206],[-2.723801725335862,37.97263888067273],[-2.7232978578549565,37.97303573828131],[-2.7229723198432545,37.97353960458033],[-2.72285644706779,37.97409249700229],[-2.7229679186455082,37.97464991243092],[-2.723288979515599,37.97515379031836],[-2.723792846901213,37.97555508179706],[-2.724426027681417,37.97581375377593],[-2.725126072700062,37.975902901748],[-2.725830605509812,37.97581370963021],[-2.72646829118623,37.975559534525516],[-2.726972192693291,37.97516267720749],[-2.7272976825503235,37.97466325547487],[-2.727413642177116,37.97410592079794]]]}"
18,3,2022,S3-SDT,Santiago,intermediate,SDT,1700.920415,257.0513517,11.40695548,0.2629878961,0.1795051811,0.1610692588,0.1599724873,-0.5161645872,0.04149421698,0.02531787368,0.02350011105,0.03463656991,0.02744609645,0.4463198483,0.1493767947,0.3097406348,0.1148033327,0.2889986332,0.1025030425,0.2915266752,-0.0399367325,-0.3853706419,-0.6163402796,"{""type"":""Polygon"",""coordinates"":[[[-2.727413642177116,37.97410592079794],[-2.727302160043686,37.973548506690896],[-2.72698107172917,37.97304462936136],[-2.7264771701268233,37.97264333758763],[-2.7258440375715076,37.97238910463044],[-2.725139504560205,37.97229545523547],[-2.724439383456184,37.97238470620206],[-2.723801725335862,37.97263888067273],[-2.7232978578549565,37.97303573828131],[-2.7229723198432545,37.97353960458033],[-2.72285644706779,37.97409249700229],[-2.7229679186455082,37.97464991243092],[-2.723288979515599,37.97515379031836],[-2.723792846901213,37.97555508179706],[-2.724426027681417,37.97581375377593],[-2.725126072700062,37.975902901748],[-2.725830605509812,37.97581370963021],[-2.72646829118623,37.975559534525516],[-2.726972192693291,37.97516267720749],[-2.7272976825503235,37.97466325547487],[-2.727413642177116,37.97410592079794]]]}"
19,4,2017,S2-SDT,Santiago,intermediate,SDT,1750.939603,119.4747157,7.715559111,0.2679241892,0.1556119258,0.1406626024,0.1612385325,-0.4606242148,0.08061069501,0.0380788432,0.03561946578,0.05561556858,0.05417547576,0.6983541846,0.1088100523,0.3971883802,0.07060601699,0.3855509589,0.05582215495,0.4317032099,-0.166301012,-0.238126114,-0.5882194042,"{""type"":""Polygon"",""coordinates"":[[[-2.7136795792621053,37.97688390314467],[-2.7135681297465197,37.97632649398415],[-2.7132470595113047,37.97582267676586],[-2.7127431536158624,37.97542134038773],[-2.7121099787245577,37.97516268293008],[-2.711405424284026,37.975073478489556],[-2.7107053563373515,37.9751582028576],[-2.7100677331062237,37.9754168978859],[-2.709563861368107,37.97581376510221],[-2.7092383427730207,37.97631313500665],[-2.7091223521906733,37.97687052082832],[-2.709233867002913,37.9774279295593],[-2.709554909766181,37.97793182808346],[-2.710054305559701,37.97833310541364],[-2.71069200447113,37.97858729646296],[-2.711392072218501,37.97868096312632],[-2.712096626458462,37.97859177389346],[-2.7127342772732663,37.97833760075441],[-2.713238107206369,37.97794073557917],[-2.713563653563199,37.97743684430229],[-2.7136795792621053,37.97688390314467]]]}"
20,4,2018,S2-SDT,Santiago,intermediate,SDT,1750.939603,119.4747157,7.715559111,0.2743555341,0.1902173946,0.1732941592,0.1660111153,-0.4559668344,0.06527913782,0.03752233046,0.03519463114,0.05021949531,0.04218987601,0.6131017208,0.1361301392,0.3868542886,0.08292026877,0.3645636104,0.06554171815,0.3701390028,-0.1158844233,-0.2525065839,-0.5757637024,"{""type"":""Polygon"",""coordinates"":[[[-2.7136795792621053,37.97688390314467],[-2.7135681297465197,37.97632649398415],[-2.7132470595113047,37.97582267676586],[-2.7127431536158624,37.97542134038773],[-2.7121099787245577,37.97516268293008],[-2.711405424284026,37.975073478489556],[-2.7107053563373515,37.9751582028576],[-2.7100677331062237,37.9754168978859],[-2.709563861368107,37.97581376510221],[-2.7092383427730207,37.97631313500665],[-2.7091223521906733,37.97687052082832],[-2.709233867002913,37.9774279295593],[-2.709554909766181,37.97793182808346],[-2.710054305559701,37.97833310541364],[-2.71069200447113,37.97858729646296],[-2.711392072218501,37.97868096312632],[-2.712096626458462,37.97859177389346],[-2.7127342772732663,37.97833760075441],[-2.713238107206369,37.97794073557917],[-2.713563653563199,37.97743684430229],[-2.7136795792621053,37.97688390314467]]]}"
