fid,Nom,commune,type_pasto,Governance,surface_m2,slope_mean,slope_stde,aspect_mean,aspect_stde,roughness_mean,roughness_stde,year,NDVI_mean,SAVI_mean,MSAVI_mean,NDRE_mean,NDVI_std,SAVI_std,MSAVI_std,NDRE_std,NDVI_amplitude,SAVI_amplitude,MSAVI_amplitude,NDRE_amplitude
43,P2-LDT,Pontones,LDT,strict,773151.79,11.2629302073273,12.0622522901328,205.285684285811,80.3360964453749,131.045687878718,137.86877688481,"2022","0.2914970952","0.1755861854","0.153900972","0.2012553945","0.05140428195","0.02925516883","0.02661077623","0.03718698678","0.1352008939","0.07603835515","0.06900078059","0.09725917077"
44,P2-LDT,Pontones,LDT,strict,773151.79,11.2629302073273,12.0622522901328,205.285684285811,80.3360964453749,131.045687878718,137.86877688481,"2021","0.3657432056","0.2138693669","0.1887585274","0.2498262676","0.04526888756","0.02935301353","0.02771689762","0.02937758084","0.1157260301","0.07451589065","0.07034172772","0.07467137804"
45,P2-LDT,Pontones,LDT,strict,773151.79,11.2629302073273,12.0622522901328,205.285684285811,80.3360964453749,131.045687878718,137.86877688481,"2020","0.356581745","0.2154910155","0.1914114078","0.247329768","0.03984602921","0.02480768125","0.02364425355","0.02482209078","0.09430510903","0.05838159063","0.05560757051","0.05885281651"
46,P2-LDT,Pontones,LDT,strict,773151.79,11.2629302073273,12.0622522901328,205.285684285811,80.3360964453749,131.045687878718,137.86877688481,"2019","0.3062303736","0.186114777","0.1643716881","0.2137139931","0.05021001832","0.03079814374","0.02830980389","0.03500046214","0.1320826764","0.07972778835","0.07305735519","0.09167258586"
47,P2-LDT,Pontones,LDT,strict,773151.79,11.2629302073273,12.0622522901328,205.285684285811,80.3360964453749,131.045687878718,137.86877688481,"2018","0.2978166351","0.1779313237","0.1561127104","0.2048425741","0.05261604214","0.03494770323","0.03263134203","0.04179580545","0.1396277052","0.09332818576","0.08715601982","0.1099178891"
48,P2-LDT,Pontones,LDT,strict,773151.79,11.2629302073273,12.0622522901328,205.285684285811,80.3360964453749,131.045687878718,137.86877688481,"2017","0.3199798694","0.1914244287","0.1683970245","0.2232498147","0.03513553587","0.02297141603","0.02167059243","0.0255016668","0.09153874087","0.05969922564","0.05625040066","0.06598086275"
49,P3-SDT,Pontones,SDT,strict,773151.511,5.92011977875331,3.71734751837774,250.363914882089,103.338363554403,191.069954828465,194.083799547302,"2022","0.2770751617","0.1760761568","0.1561840198","0.1857133889","0.05227199169","0.02707410158","0.02424335733","0.0342647335","0.1361199946","0.07009508243","0.06276534068","0.08996051016"
50,P3-SDT,Pontones,SDT,strict,773151.511,5.92011977875331,3.71734751837774,250.363914882089,103.338363554403,191.069954828465,194.083799547302,"2021","0.368411518","0.2327451941","0.2091366653","0.2433130428","0.06076881892","0.03841416054","0.03625128477","0.03434209285","0.1558396177","0.09850629034","0.09298748985","0.08778081908"
51,P3-SDT,Pontones,SDT,strict,773151.511,5.92011977875331,3.71734751837774,250.363914882089,103.338363554403,191.069954828465,194.083799547302,"2020","0.3305356656","0.2121226198","0.1908753606","0.2211375606","0.06907262795","0.04575696374","0.04336758519","0.04228682703","0.1609210551","0.106281373","0.1006090247","0.09923021266"
52,P3-SDT,Pontones,SDT,strict,773151.511,5.92011977875331,3.71734751837774,250.363914882089,103.338363554403,191.069954828465,194.083799547302,"2019","0.286776138","0.1883704311","0.1692668787","0.1925634442","0.07218699473","0.04764374226","0.04421909565","0.04791148254","0.1915011397","0.1255723698","0.1163109398","0.1277996736"
53,P3-SDT,Pontones,SDT,strict,773151.511,5.92011977875331,3.71734751837774,250.363914882089,103.338363554403,191.069954828465,194.083799547302,"2018","0.2701898711","0.1715091526","0.1523274628","0.1787860842","0.0781422839","0.05131526764","0.04734976201","0.05969971601","0.2002636264","0.1314542493","0.1214896835","0.152409252"
54,P3-SDT,Pontones,SDT,strict,773151.511,5.92011977875331,3.71734751837774,250.363914882089,103.338363554403,191.069954828465,194.083799547302,"2017","0.3105187009","0.1996821913","0.1782859977","0.2111328718","0.05057510162","0.03109780822","0.0291078128","0.03078841902","0.1315462016","0.08136474565","0.07628264355","0.0801828476"
55,P2-SDT,Pontones,SDT,strict,773150.594,12.874827601445,6.14876914359599,201.241814070247,99.469385543349,135.325149074129,168.363115114365,"2022","0.2689703203","0.1742026334","0.1557265249","0.1826942872","0.09186333624","0.05019782306","0.04425030627","0.06675338814","0.2485677887","0.1350856839","0.1190247316","0.178535962"
56,P2-SDT,Pontones,SDT,strict,773150.594,12.874827601445,6.14876914359599,201.241814070247,99.469385543349,135.325149074129,168.363115114365,"2021","0.3647636455","0.224171866","0.199912624","0.2444646896","0.04715803179","0.02899496232","0.02754891303","0.02673429842","0.1214824585","0.07495109779","0.07125616446","0.06849220335"
57,P2-SDT,Pontones,SDT,strict,773150.594,12.874827601445,6.14876914359599,201.241814070247,99.469385543349,135.325149074129,168.363115114365,"2020","0.3523956288","0.2247924297","0.2020634597","0.2414618147","0.0560390731","0.03409664094","0.03249436809","0.03209509892","0.1340249172","0.08155956105","0.07772928071","0.07643717736"
58,P2-SDT,Pontones,SDT,strict,773150.594,12.874827601445,6.14876914359599,201.241814070247,99.469385543349,135.325149074129,168.363115114365,"2019","0.3178236068","0.2039835444","0.1826824378","0.2181747135","0.05516951742","0.0332031006","0.03086914467","0.03346494825","0.144849511","0.08729963625","0.08110848846","0.08781421123"
59,P2-SDT,Pontones,SDT,strict,773150.594,12.874827601445,6.14876914359599,201.241814070247,99.469385543349,135.325149074129,168.363115114365,"2018","0.3069240915","0.1936371279","0.1721485603","0.2099028778","0.05214732834","0.03302509246","0.03077289338","0.03766870093","0.1342445457","0.08576705082","0.08013743288","0.0970312714"
60,P2-SDT,Pontones,SDT,strict,773150.594,12.874827601445,6.14876914359599,201.241814070247,99.469385543349,135.325149074129,168.363115114365,"2017","0.3220402578","0.2028543223","0.1806160832","0.2212041599","0.04505223712","0.02730546088","0.025705021","0.02593776509","0.1137532946","0.07000526728","0.06607533006","0.06585560895"
61,C2-LDT,Castrils,LDT,flexible,773149.825,15.5505009339239,8.03556823882163,167.858314942269,74.9014547656744,89.5131382363556,107.60963240034,"2022","0.2380484463","0.1741231043","0.1596131871","0.1593016583","0.07215795317","0.04824760653","0.04510173646","0.04776117614","0.1907414913","0.1274489416","0.1189277013","0.126010652"
62,C2-LDT,Castrils,LDT,flexible,773149.825,15.5505009339239,8.03556823882163,167.858314942269,74.9014547656744,89.5131382363556,107.60963240034,"2021","0.2963864428","0.2083508386","0.1905345173","0.193971083","0.06696712579","0.0455599553","0.04311398254","0.03889485378","0.170572074","0.1168788788","0.1109072511","0.09962838871"
63,C2-LDT,Castrils,LDT,flexible,773149.825,15.5505009339239,8.03556823882163,167.858314942269,74.9014547656744,89.5131382363556,107.60963240034,"2020","0.2752005858","0.1915096829","0.1749927484","0.1829821875","0.07761912995","0.05210365284","0.04980469925","0.04668462572","0.1857619138","0.1236762012","0.1179523818","0.111087942"
